"userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language"
"3J9+F+vCmLRfyY8AkeqgUJgKdkaSDKrK4iwpIHuu5E=","3J9+F+vCmLRfyY8AkeqgUJgKdkaSDKrK4iwpIHuu5E=","3J9+F+vCmLRfyY8AkeqgUJgKdkaSDKrK4iwpIHuu5E=","Camagüey","Licenciado en Ciencias de la Computación en la #UCLV. Identificado con nuestro proceso Revolucionario y seguidor de las ideas de Fidel.","https://t.co/FI9T0ttYlQ","188","244","2019-03-04","es"
"lWGX4M2jkz0ze4Khx0z2dUZz7gaZ9ZrqK27DKI98v50=","lWGX4M2jkz0ze4Khx0z2dUZz7gaZ9ZrqK27DKI98v50=","lWGX4M2jkz0ze4Khx0z2dUZz7gaZ9ZrqK27DKI98v50=","","","","72","88","2019-05-10","es"
"5NkYBKSNLOaosk90h7k6NT17MOeTTBQyJztIR94w8vg=","5NkYBKSNLOaosk90h7k6NT17MOeTTBQyJztIR94w8vg=","5NkYBKSNLOaosk90h7k6NT17MOeTTBQyJztIR94w8vg=","Provincia Gtmo de Cuba","Licenciado en Derecho, Martiano y Fidelista, amante de 🇨🇺, cinéfilo y disfruta la 🎵 popular bailable. Siente adoración por sus hijos","","407","579","2019-06-11","es"
"dKmTz449UFKvthfFVrzmUkuA8nBjpUkonNMQM2o6w=","dKmTz449UFKvthfFVrzmUkuA8nBjpUkonNMQM2o6w=","dKmTz449UFKvthfFVrzmUkuA8nBjpUkonNMQM2o6w=","","Yo soy un hombre sincero de donde crece la palma... con los pobres de la tierra quiero yo mi suerte echar","","2595","4169","2019-02-22","es"
"1116068633527181320","Laylah Tellez","LaylahTellez","Cuba","Compartiendo mi alma. Honesta conmigo y en especial contigo. Una psicóloga dispuesta a acompañarte en el camino hacia un mundo mejor. 💖a 🇨🇺
#DeZurdaTeam 🤝🐊","","6359","1400","2019-04-10","es"
"yPK342eKrHe12GCOk5J2jUPXOHPX50SK4PScvtnjU=","yPK342eKrHe12GCOk5J2jUPXOHPX50SK4PScvtnjU=","yPK342eKrHe12GCOk5J2jUPXOHPX50SK4PScvtnjU=","Bayamo","","","3","7","2020-02-17","es"
"peZ3rkJRPFK+URiCvc+oxPfQnX+oqS0nejrNvQlWr7c=","peZ3rkJRPFK+URiCvc+oxPfQnX+oqS0nejrNvQlWr7c=","peZ3rkJRPFK+URiCvc+oxPfQnX+oqS0nejrNvQlWr7c=","","Soy una profesional cubana, patriota Fidelista, amante de la justicia. Me gusta el baile, la música y el deporte.","","2551","3703","2019-05-02","es"
"L6cxXgq4roWAkmXmGjxljdlf5BTCGvppnfrVQQEFy74=","L6cxXgq4roWAkmXmGjxljdlf5BTCGvppnfrVQQEFy74=","L6cxXgq4roWAkmXmGjxljdlf5BTCGvppnfrVQQEFy74=","Cuba","Joven Ingeniero, cubano 💯. Seguidor de las ideas de Marti, Fidel y Raúl. Defensor de la  Patria Grande, Chavista, Sandinista... Me gustan los Deportes y Bailar","","1067","1944","2019-03-01","es"
"qdKk0g8F5iVcqPlP34sVQ4c0S17HloernZPZIh1aph8=","qdKk0g8F5iVcqPlP34sVQ4c0S17HloernZPZIh1aph8=","qdKk0g8F5iVcqPlP34sVQ4c0S17HloernZPZIh1aph8=","Yucatán, México","100% cubana, orgullosa de mi #Cuba y su gente❤ (Desde 🏠) #DeZurdaTeam 🤝 🐺🐘","","2008","1118","2019-12-01","es"
"834433920313724932","Follow Help 👑","idolshelpffx_of","México","Libre Sano Bendecido Prosperado EnVictoria
Jesús dijo:EnMí Tengan Paz.EnElMundoTendreísAflicción
peroConfiad,YoHeVencidoAlMundo Jn16:33

#ClanPussicats","","15645","11664","2017-02-22","es"
